iter	Passed	Remaining
944	18832	1096
945	18850	1076
946	18869	1056
947	18888	1036
948	18913	1016
949	18932	996
950	18951	976
951	18970	956
952	18996	936
953	19015	916
954	19034	896
955	19052	876
956	19076	857
957	19095	837
958	19114	817
959	19133	797
960	19152	777
961	19171	757
962	19191	737
963	19212	717
964	19232	697
965	19252	677
966	19271	657
967	19290	637
968	19309	617
969	19331	597
970	19361	578
971	19384	558
972	19405	538
973	19426	518
974	19446	498
975	19465	478
976	19484	458
977	19503	438
978	19522	418
979	19540	398
980	19559	378
981	19578	358
982	19598	338
983	19617	318
984	19636	299
985	19656	279
986	19679	259
987	19699	239
988	19718	219
989	19737	199
990	19756	179
991	19775	159
992	19794	139
993	19812	119
994	19832	99
995	19851	79
996	19872	59
997	19891	39
998	19909	19
999	19928	0
